Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
34,flat,emaar mgf the palm drive,sector 66,3.5,15909.0,3,3,3,7.0,Moderately Old,2125.0,0,1,1,0,0,2,149
35,house,greenopolis,sector 89,0.7,5397.0,2,2,2,14.0,New Property,1297.0,0,0,0,0,0,1,0
36,flat,dlf the skycourt,sector 86,1.54,9222.0,3,3,3+,15.0,Relatively New,1780.0,0,1,0,0,0,1,174
39,house,vipul tatvam villa,sector 48,8.25,38194.0,4,4,3+,3.0,Relatively New,2160.0,0,1,1,0,0,2,160
40,house,international city by sobha phase 1,sector 109,6.1,25103.0,5,6,3+,2.0,Moderately Old,2430.0,0,1,0,0,0,1,30
41,flat,the arzoo cghs,sector 51,2.1,9130.0,4,4,3,1.0,Relatively New,2300.0,0,0,0,0,0,1,58
42,flat,corona optus,sector 37c,1.25,7176.0,3,3,3,2.0,Relatively New,1563.0,1,0,0,0,0,1,49
43,flat,lotus homz,sector 111,0.7,10057.0,2,2,2,8.0,Relatively New,773.0,0,0,0,0,0,1,68
44,flat,m3m merlin,sector 67,2.8,13679.0,3,3,3,5.0,Moderately Old,2047.0,0,1,0,0,0,0,26
45,house,housing board colony,sector 28,5.5,30556.0,4,3,3,2.0,Old Property,1800.0,0,0,0,1,1,2,22
46,flat,puri diplomatic greens,sector 111,2.58,11727.0,3,4,2,10.0,Moderately Old,2200.0,0,1,0,0,0,1,86
47,flat,la vida by tata housing,sector 113,3.0,14286.0,3,3,3+,3.0,Relatively New,2460.0,0,1,0,0,0,1,167
48,house,ganpati heights apartment,sector 13,1.25,12077.0,3,6,2,3.0,Old Property,115.0,0,0,0,0,1,1,7
49,flat,smart world orchard,sector 61,2.1,13752.0,3,2,3,3.0,Under Construction,1534.0,0,0,0,0,0,1,146
50,flat,tata gurgaon gateway,sector 113,2.45,10788.0,3,3,3,8.0,Relatively New,2014.0,0,0,0,0,0,1,110
51,flat,tulip violet,sector 69,1.38,8973.0,3,3,1,12.0,Relatively New,1709.0,0,0,0,0,0,1,174
52,flat,smart world gems,sector 89,1.71,12000.0,3,2,0,3.0,New Property,1423.0,0,0,0,0,0,1,45
53,flat,ireo the corridors,sector 67a,1.85,9531.0,3,4,3,4.0,New Property,1941.0,1,0,1,0,0,2,150
54,flat,signature global the millennia,sector 37d,0.6,9231.0,2,2,3,7.0,New Property,625.0,0,0,0,0,0,1,35
55,flat,vatika the seven lamps,sector 82,0.81,6193.0,2,2,2,15.0,Relatively New,1176.0,0,0,0,0,0,2,117
56,flat,tulip monsella,sector 53,5.6,19364.0,3,3,3+,1.0,Under Construction,2617.0,0,0,0,0,0,1,42
57,flat,m3m skywalk,sector 74,1.5,12500.0,2,2,3,17.0,Relatively New,1300.0,0,0,1,0,0,1,174
58,flat,bptp terra,sector 37d,1.45,8007.0,3,3,3,9.0,Relatively New,1639.0,0,0,0,0,0,1,107
59,flat,experion the heartsong,sector 108,1.65,8238.0,3,4,3,3.0,Moderately Old,1771.32,1,0,0,0,0,2,75
60,flat,huda housing board society,sector 52,0.45,9740.0,1,1,0,0.0,Moderately Old,513.0,0,0,0,1,0,2,43
61,flat,shri balaji apartment,sector 12,0.35,4037.0,2,2,1,1.0,Moderately Old,737.0,0,0,0,0,0,1,23
62,house,independent,sector 43,5.75,23663.0,4,4,2,4.0,Under Construction,2430.0,0,1,1,0,0,0,153
63,flat,ss the leaf,sector 85,1.12,6452.0,2,2,3,10.0,Relatively New,1485.0,0,0,0,0,1,1,49
64,flat,avl 36 gurgaon,sector 36a,0.75,7500.0,2,2,2,5.0,Relatively New,856.0,0,0,0,0,0,1,26
65,flat,adani aangan galleria,sector 89,0.25,5000.0,1,1,1,6.0,New Property,430.0,0,0,0,0,0,1,74
67,house,independent,sector 4,0.67,8557.0,3,2,1,1.0,Moderately Old,783.0,0,0,0,1,1,1,19
68,flat,bestech park view residency,sector 2,0.56,8629.0,1,1,2,6.0,Moderately Old,723.0,0,0,0,0,0,1,77
69,flat,aipl zen residences,sector 70a,1.75,10258.0,3,4,3+,20.0,Relatively New,1706.0,0,0,0,0,1,0,49
70,house,independent,sector 14,4.15,18444.0,5,4,2,2.0,Old Property,2250.0,0,0,0,0,0,2,51
71,flat,m3m merlin,sector 67,3.4,14419.0,3,4,3,17.0,Relatively New,2134.0,0,1,0,0,0,2,174
73,flat,dlf the ultima,sector 81,2.3,10937.0,3,3,3+,19.0,Relatively New,1617.0,1,1,0,1,1,0,49
74,house,independent,sector 25,7.6,38756.0,2,9,3,4.0,Relatively New,1961.0,1,0,1,1,0,2,84
75,flat,rof ananda,sector 95,0.32,5735.0,2,2,1,10.0,Relatively New,610.0,0,0,0,1,0,2,50
76,flat,rof aalayas,sector 102,0.45,6000.0,1,1,2,6.0,Relatively New,750.0,0,0,0,0,0,1,0
77,house,independent,sector 56,2.99,20635.0,4,4,2,2.0,Moderately Old,1449.0,1,1,0,1,0,2,49
79,flat,ats tourmaline,sector 109,1.5,6977.0,3,4,3+,4.0,Relatively New,1797.0,0,1,0,0,0,1,39
80,house,dlf south city 1,sector 41,2.65,18929.0,3,3,3,4.0,New Property,1400.0,0,1,0,0,0,2,22
81,house,bhim garh kheri,sector 3,1.5,7576.0,7,2,0,1.0,Moderately Old,1980.0,0,0,0,0,0,1,0
82,flat,dlf the skycourt,sector 86,1.5,7895.0,3,3,1,16.0,Relatively New,1719.0,0,0,0,0,1,1,49
83,flat,central park resorts,sector 48,9.3,24926.0,4,4,3+,10.0,Moderately Old,3831.0,1,1,1,1,0,2,67
84,flat,ss the leaf,sector 83,1.19,7225.0,2,2,3,4.0,Relatively New,1630.0,0,0,0,0,0,1,49
85,flat,signature global solera,sector 107,0.5,4762.0,3,2,2,5.0,Relatively New,850.0,0,0,0,0,1,1,35
86,flat,hero homes,sector 104,1.4,15819.0,3,2,2,4.0,Under Construction,1120.0,0,0,0,0,0,1,49
87,flat,godrej oasis,sector 88a,1.0,6897.0,2,2,3,7.0,Relatively New,1611.0,1,0,0,0,0,1,72
88,flat,eldeco accolade,sohna road,1.3,7424.0,3,3,3+,10.0,Relatively New,1509.0,0,0,0,0,0,1,49
89,flat,orris carnation residency,sector 85,0.9,6429.0,3,3,2,12.0,Relatively New,1402.0,0,0,0,0,0,1,120
90,house,independent,sector 105,0.5,5556.0,2,2,0,1.0,Moderately Old,100.0,0,0,0,0,0,1,0
91,flat,vatika gurgaon,sector 83,1.15,5808.0,3,3,2,3.0,Relatively New,1350.0,1,1,1,1,0,2,165
92,flat,tulip violet,sector 69,1.36,8619.0,3,3,2,12.0,Relatively New,1428.0,0,0,0,1,0,2,49
94,flat,shapoorji pallonji joyville gurugram,sector 102,1.4,11667.0,2,2,3,0.0,Relatively New,1286.0,0,0,0,0,0,1,80
95,house,independent,sector 55,2.8,18667.0,4,4,0,2.0,Old Property,1500.0,0,0,0,0,0,1,0
96,house,unitech espace,sector 50,10.45,32253.0,5,7,3+,3.0,Moderately Old,3240.0,1,1,0,1,1,2,153
97,flat,pivotal devaan,sector 84,0.34,7039.0,2,2,1,1.0,Relatively New,537.0,0,0,1,0,0,2,84
98,flat,pivotal devaan apartments,sector 84,0.39,6500.0,2,2,0,5.0,Relatively New,549.0,0,0,0,0,0,1,0
99,house,independent,sector 4,1.1,11111.0,3,4,1,2.0,Moderately Old,990.0,0,0,0,0,0,1,0
100,flat,gls arawali homes,sohna road,0.35,6076.0,2,2,2,12.0,New Property,521.0,0,0,0,0,0,1,42
101,flat,tarc maceo,sector 91,1.75,11118.0,4,3,3+,8.0,Relatively New,2107.0,1,1,1,1,0,1,128
102,flat,vatika city,sector 49,2.1,10417.0,3,3,3,9.0,Moderately Old,1604.25,0,0,0,1,0,2,132
103,flat,central park resorts,sector 48,3.65,15240.0,3,3,3+,9.0,Relatively New,2395.0,0,0,0,0,1,2,157
104,flat,ashiana mulberry,sohna road,0.95,6485.0,2,2,3+,3.0,New Property,1175.97,1,0,0,0,0,1,89
105,flat,tulip violet,sector 69,1.29,8227.0,3,3,1,12.0,Relatively New,1419.0,0,0,0,1,0,2,86
106,house,suncity avenue 76,sector 76,0.75,10067.0,2,2,2,11.0,New Property,745.0,0,0,0,0,0,1,40
107,flat,dlf the primus,sector 82a,1.85,10283.0,3,3,3+,2.0,Relatively New,1668.0,0,0,0,0,0,2,44
108,flat,umang monsoon breeze,sector 78,0.7,5719.0,2,2,2,5.0,Moderately Old,1224.0,0,0,0,0,0,1,0
109,flat,rof ananda,sector 95,0.32,5829.0,2,2,1,9.0,Relatively New,610.0,0,0,0,1,0,2,71
110,flat,the crew bos chs manesar,manesar,0.85,3696.0,3,3,2,2.0,Moderately Old,2556.0,0,0,0,0,0,1,44
111,flat,spaze privvy the address,sector 93,1.25,5700.0,4,4,3,16.0,Relatively New,2105.0,0,0,0,0,0,1,0
112,flat,"m m residency, krishna colony, gurgaon",sector 7,0.54,5889.0,2,2,1,3.0,Relatively New,1000.0,0,0,0,0,0,1,70
113,flat,chd avenue,sector 71,0.79,6594.0,2,2,2,8.0,Relatively New,1084.0,0,0,0,0,1,1,0
114,house,independent,sector 25,10.0,37037.0,5,5,3+,3.0,Moderately Old,9500.0,0,1,0,1,0,0,29
116,flat,park royal apartment,sector 56,1.71,7600.0,3,3,3+,5.0,Moderately Old,2251.0,0,1,0,0,0,2,118
117,flat,mahindra aura,sector 110,1.4,9655.0,3,3,3,10.0,Relatively New,1550.0,0,0,0,0,0,2,142
118,flat,ireo victory valley,sector 67,3.65,13529.0,3,4,3+,18.0,Relatively New,2490.0,0,1,0,1,0,2,61
120,flat,signature global solera,sector 107,0.6,8000.0,3,2,2,8.0,Relatively New,750.0,0,0,0,0,0,1,55
121,flat,tulip violet,sector 69,1.44,9125.0,3,3,2,1.0,Relatively New,1381.0,0,0,0,1,0,1,174
122,flat,m3m capital,sector 113,2.37,11499.0,4,4,3+,20.0,Under Construction,2060.0,1,0,0,0,0,1,143
123,flat,zara aavaas,sector 104,0.2,6645.0,1,2,2,3.0,New Property,334.0,0,0,0,0,0,1,67
124,flat,godrej nature plus,sector 33,1.5,10197.0,2,2,3+,2.0,Under Construction,1539.0,0,0,0,0,0,1,87
125,flat,m3m capital,sector 113,1.83,13969.0,2,2,0,7.0,New Property,1310.0,0,0,0,0,0,1,68
126,house,independent,sector 4,3.2,14222.0,3,3,2,2.0,Old Property,2250.0,0,0,0,0,0,1,13
128,flat,breez global heights 88a,sector 88a,0.5,8375.0,3,2,2,2.0,Under Construction,663.0,0,0,0,0,0,1,15
129,flat,south city 1 floors,sector 41,3.4,11724.0,4,4,3,0.0,Old Property,2900.0,0,0,0,0,0,1,0
130,flat,adani m2k oyster grande,sector 102,4.55,10000.0,4,4,3+,11.0,Relatively New,4630.0,0,0,0,0,0,2,60
131,flat,vatika city,sector 49,1.72,7818.0,3,3,2,2.0,Old Property,2444.0,0,0,0,0,0,2,144
132,flat,smart world orchard,sector 61,2.2,13497.0,3,3,2,1.0,Under Construction,1778.0,0,0,0,0,0,1,49
133,flat,vatika iris floors,sector 82,0.63,5590.0,2,2,3+,2.0,Relatively New,1026.0,1,0,0,0,0,1,110
134,flat,corona optus,sector 37c,1.4,7035.0,3,3,3+,4.0,Relatively New,1890.0,0,1,0,0,0,1,149
135,flat,unitech south park,sector 70,1.13,7001.0,3,3,2,1.0,Under Construction,1457.0,0,0,0,0,0,1,46
136,house,hero homes,sector 104,1.95,21196.0,3,5,3+,2.0,Moderately Old,920.0,0,0,0,0,0,1,64
137,flat,shree vardhman victoria,sector 70,1.75,8974.0,3,5,0,0.0,Relatively New,1950.0,0,0,0,0,0,1,47
138,flat,indiabulls centrum park,sector 103,2.45,8522.0,4,4,3,11.0,Relatively New,2602.0,1,1,1,1,0,1,38
139,house,vatika signature villas,sector 82,4.7,21759.0,3,3,3+,3.0,New Property,2160.0,0,1,0,0,0,1,33
140,house,independent,sector 28,0.7,8102.0,2,2,0,2.0,Old Property,864.0,0,0,0,0,0,1,7
141,flat,m3m soulitude,sector 89,1.3,8701.0,3,3,2,1.0,New Property,1179.0,0,0,0,0,1,1,45
142,house,international city by sobha phase 2,sector 109,6.5,12037.0,4,4,3+,1.0,New Property,5400.0,0,1,0,0,0,2,160
143,flat,signature global the millennia,sector 37d,0.55,9167.0,2,2,3,3.0,New Property,543.0,0,0,0,0,0,1,53
144,flat,signature global park,sohna road,0.9,8036.0,3,2,2,2.0,Under Construction,1014.0,0,0,0,0,0,1,144
145,flat,m3m woodshire,sector 107,1.15,7497.0,2,2,3,0.0,Relatively New,1281.0,1,0,0,0,0,1,29
146,flat,emaar mgf the palm drive,sector 66,3.5,16471.0,3,4,3,6.0,Relatively New,2150.0,0,1,0,0,0,1,68
147,flat,dlf regal gardens,sector 90,1.78,8036.0,4,4,3+,8.0,Relatively New,2000.0,0,0,0,0,0,1,126
148,flat,sanskriti apartments,sector 43,2.5,13514.0,3,2,3,5.0,Old Property,1674.0,1,0,0,0,0,1,0
149,house,independent,sector 38,3.9,21242.0,6,6,3+,3.0,Moderately Old,1836.0,1,1,0,1,0,1,32
150,house,independent,sector 3,0.55,6707.0,2,2,1,2.0,Moderately Old,810.0,0,0,0,0,0,1,0
151,flat,bptp terra,sector 37d,1.67,7622.0,4,4,3,11.0,Relatively New,2091.0,0,0,0,0,0,2,149
152,flat,shree vardhman flora,sector 90,0.65,6792.0,2,2,3,9.0,Relatively New,1050.0,1,0,0,0,0,1,67
153,flat,m3m golfestate,sector 65,5.5,16960.0,3,4,3,3.0,Relatively New,2803.0,0,1,0,0,0,1,49
154,flat,dlf regal gardens,sector 90,2.05,8999.0,4,4,3+,5.0,Relatively New,2005.0,0,0,0,0,0,2,49
155,house,independent,sector 51,2.25,2778.0,6,3,3+,3.0,Relatively New,900.0,0,0,0,0,0,1,54
156,house,unitech uniworld resorts,sector 33,11.0,26667.0,5,6,3,3.0,New Property,4125.0,1,1,0,0,0,1,58
157,flat,shapoorji pallonji joyville gurugram,sector 102,1.41,10307.0,2,2,3,0.0,Relatively New,1238.0,0,0,0,0,1,1,49
158,flat,mapsko mount ville,sector 79,1.65,9091.0,3,3,0,12.0,Relatively New,1815.0,0,0,0,0,0,1,0
159,flat,vatika gurgaon,sector 83,0.98,8167.0,2,2,3,5.0,Relatively New,1300.0,0,0,0,0,0,2,96
160,flat,essel towers,sector 14,2.2,12500.0,3,4,3+,3.0,Old Property,1956.0,0,0,0,0,0,1,0
161,flat,dlf the skycourt,sector 86,1.5,7776.0,3,3,1,15.0,Relatively New,1550.0,0,0,0,0,0,1,159
162,house,satya the hermitage,sector 103,4.35,13501.0,4,4,3+,2.0,Relatively New,3222.0,1,1,1,1,0,1,138
163,flat,tulip violet,sector 69,1.3,8286.0,3,3,1,12.0,Relatively New,1419.0,0,0,0,1,0,1,86
164,flat,chd avenue,sector 71,1.1,6104.0,3,4,3,3.0,Moderately Old,1631.0,0,1,0,0,0,1,26
165,flat,dlf the primus,sector 82a,1.59,10338.0,3,3,3+,5.0,Relatively New,1668.0,0,0,0,0,1,0,167
166,flat,godrej icon,sector 88a,1.65,9041.0,3,3,3,12.0,New Property,1652.0,0,0,0,0,0,1,60
167,flat,dlf the ultima,sector 81,2.28,10842.0,3,3,3+,14.0,Relatively New,1750.0,0,1,0,0,0,0,49
168,flat,dlf new town heights,sector 90,1.6,6768.0,4,4,3+,10.0,Relatively New,2139.0,0,1,0,1,0,1,88
169,flat,dlf regal gardens,sector 90,1.21,6926.0,3,3,3+,29.0,Relatively New,1581.0,0,0,0,0,1,1,95
170,flat,dlf regal gardens,sector 90,1.25,10417.0,3,3,3,18.0,Moderately Old,1437.0,0,1,0,0,0,1,100
171,flat,bestech park view residency,sector 2,0.98,6931.0,2,2,3,11.0,Moderately Old,1281.0,0,0,0,0,0,1,83
172,flat,experion the heartsong,sector 108,0.93,6078.0,2,3,3,10.0,Relatively New,1161.0,0,0,0,0,0,1,81
173,flat,smart world orchard,sector 61,2.24,14461.0,3,3,2,3.0,New Property,1402.0,0,0,0,0,1,1,61
174,flat,kiran residency,sector 56,1.55,7750.0,3,3,3,5.0,Old Property,1810.0,0,1,0,0,0,2,52
175,flat,supertech araville,sector 79,0.78,6023.0,2,2,3+,17.0,Relatively New,1172.0,0,0,0,0,0,1,24
176,flat,la vida by tata housing,sector 113,1.93,12223.0,3,3,2,8.0,Under Construction,1429.0,0,0,0,0,0,1,71
177,flat,ats triumph,sector 104,2.6,8814.0,4,4,3+,16.0,Relatively New,3064.0,0,1,0,0,0,2,150
178,house,experion windchants,sector 112,7.46,10260.0,4,4,3+,2.0,Relatively New,6350.0,0,1,0,1,0,2,62
179,flat,ambience creacions,sector 22,4.8,19200.0,4,6,3+,10.0,New Property,2778.0,0,1,0,1,0,0,49
180,flat,experion the heartsong,sector 108,0.97,9238.0,2,2,3,10.0,Relatively New,1167.0,0,1,0,0,0,1,165
181,flat,shapoorji pallonji joyville gurugram,sector 102,0.97,10601.0,2,2,2,12.0,Relatively New,828.0,0,0,0,0,0,1,100
182,flat,dlf garden city floors,sector 92,1.7,8586.0,3,4,2,1.0,Under Construction,1475.0,0,0,0,0,0,1,63
183,house,independent,sector 26,6.75,27778.0,3,3,3,2.0,Moderately Old,2430.0,0,0,0,0,0,1,27
184,flat,dlf new town heights,sector 90,1.2,6218.0,3,3,3+,8.0,Moderately Old,2144.0,0,1,0,1,0,1,59
185,flat,shree vardhman victoria,sector 70,1.65,8462.0,3,5,3,6.0,Relatively New,1527.0,0,1,0,1,0,1,167
186,house,independent,sector 13,1.5,11538.0,2,7,3,4.0,Moderately Old,1300.0,0,0,0,0,0,1,0
187,flat,antriksh heights,sector 84,0.69,5111.0,2,2,3+,8.0,Relatively New,1222.0,1,0,0,0,0,1,59
188,flat,ss,sector 85,1.2,7151.0,2,2,3,15.0,Relatively New,1660.0,0,0,0,0,0,1,49
189,flat,apartment,sector 92,0.75,4688.0,3,4,3,2.0,Moderately Old,1778.0,1,0,0,0,0,1,113
190,flat,vatika city,sector 49,1.69,8622.0,3,3,3,3.0,Moderately Old,2178.0,0,0,0,1,0,1,136
191,flat,ireo victory valley,sector 67,4.5,14098.0,4,4,3+,0.0,Relatively New,3160.0,0,1,0,1,0,2,42
192,house,unitech uniworld resorts,sector 33,8.5,17820.0,5,5,3+,3.0,New Property,4770.0,1,1,1,1,0,2,145
193,flat,signature global solera,sector 107,0.4,6645.0,2,2,1,7.0,Relatively New,577.0,0,0,0,0,0,2,55
194,flat,hsiidc sidco aravali,manesar,0.9,3648.0,4,4,3,7.0,Moderately Old,2233.0,0,0,0,0,0,1,0
195,flat,residency grand,sector 52,5.0,7692.0,5,7,3+,1.0,Moderately Old,5778.0,0,1,0,1,0,1,77
196,flat,whiteland blissville,sector 76,1.9,11364.0,3,3,2,0.0,Under Construction,1513.0,0,0,0,0,0,1,61
197,flat,spaze privy at,sector 84,1.24,6465.0,3,3,3,8.0,Relatively New,1650.0,1,0,0,0,0,2,158
198,flat,central park flower valley,sector 33,1.4,21538.0,3,3,3,2.0,Under Construction,588.0,0,0,0,0,0,1,54
199,flat,rof ananda,sector 95,0.46,6319.0,2,2,2,11.0,New Property,809.0,1,0,0,0,0,1,82
200,flat,suncity vatsal valley,gwal pahari,1.38,12212.0,2,2,2,4.0,Under Construction,1130.0,0,0,0,0,0,1,133
201,flat,conscient heritage max,sector 102,1.82,9372.0,3,4,3+,15.0,Moderately Old,1757.0,0,1,0,0,0,1,125
202,flat,tulsiani easy in homes,sohna road,0.4,6723.0,2,2,3,12.0,New Property,661.0,0,0,0,0,0,1,36
203,flat,hsiidc sidco aravali,manesar,0.86,3323.0,3,3,3+,3.0,Moderately Old,1900.0,0,1,0,0,0,1,81
204,flat,shree vardhman victoria,sector 70,1.65,8462.0,3,3,2,6.0,Relatively New,2167.0,1,0,0,0,0,1,72
205,flat,conscient elevate,sector 59,3.78,16499.0,3,3,3,3.0,Under Construction,2550.0,0,0,0,0,0,1,31
206,flat,emaar gurgaon greens,sector 102,1.42,8606.0,3,3,3,7.0,Relatively New,1315.0,0,1,0,0,0,1,128
207,flat,ats tourmaline,sector 109,1.4,8000.0,3,3,3+,8.0,Relatively New,1466.0,0,0,1,0,0,1,119
208,flat,ramson kshitij sec-95 gurugram,sector 95,0.27,2700.0,2,2,0,1.0,New Property,758.0,0,0,0,0,0,1,0
209,flat,pyramid urban homes 2,sector 86,0.42,8485.0,2,2,1,2.0,New Property,557.0,1,1,0,1,1,1,84
210,flat,prime habitat,sector 99a,0.26,4745.0,2,2,1,6.0,Relatively New,611.0,0,0,0,0,1,1,79
211,flat,ramsons kshitij,sector 95,0.4,5839.0,3,2,2,6.0,New Property,761.0,0,0,0,0,0,1,0
212,flat,the lions cghs,sector 56,2.05,9535.0,4,4,3,7.0,Relatively New,2000.0,0,1,0,0,1,2,49
213,flat,sare crescent parc,sector 92,0.87,4971.0,4,4,2,2.0,Moderately Old,1584.0,0,0,1,0,0,0,115
214,flat,microtek greenburg,sector 86,1.65,8707.0,3,4,3,8.0,Relatively New,1715.0,0,1,0,0,0,1,124
215,house,bhawani enclave,sector 12,0.42,8235.0,3,3,0,2.0,New Property,567.0,0,0,0,1,0,1,0
216,flat,emaar mgf emerald floors premier,sector 65,2.75,13924.0,4,4,3,3.0,Relatively New,1975.0,1,1,0,0,0,2,113
217,flat,the khushboo cooperative housing society ltd,sector 9a,0.88,4889.0,3,3,2,2.0,Old Property,1438.0,0,0,0,0,0,2,31
218,flat,tarc maceo,sector 91,1.4,7407.0,3,3,3+,7.0,Relatively New,1700.0,0,0,0,0,0,1,76
219,flat,m3m golfestate,sector 65,5.9,17544.0,3,3,3,9.0,Moderately Old,3043.0,1,0,0,0,0,0,21
220,flat,signature global city 81,sector 81,0.82,8641.0,2,2,3,2.0,Relatively New,955.0,0,0,0,0,0,1,53
221,flat,bestech park view grand spa,sector 81,3.3,12222.0,4,5,3+,4.0,Relatively New,3070.0,1,1,0,0,0,2,174
222,flat,gls avenue 51,sector 92,0.5,7812.0,3,3,1,12.0,New Property,711.0,0,0,0,0,0,0,95
223,flat,tulip purple,sector 69,1.8,9000.0,4,5,3+,4.0,Relatively New,2200.0,0,1,0,0,0,1,165
224,flat,ireo the grand arch,sector 58,4.85,16934.0,4,5,3,23.0,Relatively New,3182.0,1,1,0,1,1,2,49
225,flat,emaar palm heights,sector 77,1.79,8840.0,3,3,3,1.0,New Property,1600.0,0,1,0,0,0,2,49
226,flat,pareena coban residences,sector 99a,1.13,5658.0,3,5,3,5.0,Relatively New,1790.0,0,1,0,0,1,1,49
227,flat,dlf the ultima,sector 81,2.29,10926.0,3,4,3+,15.0,Relatively New,1900.0,0,1,0,0,0,0,103
228,flat,breez global heights,sohna road,0.26,6599.0,1,1,1,6.0,New Property,438.0,0,0,0,0,0,1,26
230,flat,ramsons kshitij,sector 95,0.29,5179.0,2,2,2,14.0,Relatively New,507.0,0,0,0,0,0,1,50
231,house,independent,sector 1,1.85,16003.0,4,3,2,3.0,Moderately Old,1284.0,0,0,0,0,0,1,0
232,flat,bestech park view residency,sector 2,0.95,6709.0,2,2,3,10.0,Old Property,1573.0,0,0,0,0,0,2,88
233,flat,brisk lumbini terrace homes,sector 109,1.5,6617.0,3,3,1,4.0,New Property,2519.0,0,1,0,0,0,1,37
234,flat,indiabulls enigma,sector 110,4.0,9850.0,4,4,3,17.0,New Property,3350.0,0,0,0,0,0,1,59
235,flat,global height,sohna road,0.45,6338.0,2,2,2,6.0,Relatively New,789.0,0,0,0,0,0,0,49
236,flat,spectrum centre,sector 82a,0.62,9538.0,1,1,0,6.0,Relatively New,650.0,0,0,0,0,0,1,0
